INFO  - 2015-01-24 00:13:41.407; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/Users/nandu/Documents/django/mysite/solr-4.10.2/example/solr/collection1/conf
INFO  - 2015-01-24 00:13:41.453; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=/Users/nandu/Documents/django/mysite/solr-4.10.2/example/solr/collection1/conf
INFO  - 2015-01-24 00:13:41.453; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2015-01-24 00:13:41.453; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2015-01-24 00:13:41.454; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=/Users/nandu/Documents/django/mysite/solr-4.10.2/example/solr/collection1/conf
INFO  - 2015-01-24 00:13:41.471; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=/Users/nandu/Documents/django/mysite/solr-4.10.2/example/solr/collection1/conf
INFO  - 2015-01-24 00:13:41.472; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2015-01-24 00:13:41.472; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2015-01-24 00:13:41.472; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2015-01-24 00:13:41.473; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=/Users/nandu/Documents/django/mysite/solr-4.10.2/example/solr/collection1/conf
INFO  - 2015-01-24 00:13:41.474; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=/Users/nandu/Documents/django/mysite/solr-4.10.2/example/solr/collection1/conf
INFO  - 2015-01-24 00:13:41.474; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
INFO  - 2015-01-24 00:13:41.475; org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager; Loaded 3 synonym mappings for /schema/analysis/synonyms/english
INFO  - 2015-01-24 00:13:41.477; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/synonyms/english
INFO  - 2015-01-24 00:13:41.478; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2015-01-24 00:13:41.511; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
